FID	UMAP1	UMAP2
Senegal_Fulani_Linguere:ffe02	-8.193878536	8.616880762
Senegal_Fulani_Linguere:ffe03	-2.109488754	-0.01048359
Senegal_Fulani_Linguere:ffe06	-7.850714046	9.216087898
Senegal_Fulani_Linguere:ffe10	-7.215062164	10.01638929
Senegal_Fulani_Linguere:ffe12	-6.549330773	9.807626882
Senegal_Fulani_Linguere:ffe13	-5.632710517	5.362749677
Senegal_Fulani_Linguere:ffe14	-6.453273647	4.220678873
Senegal_Fulani_Linguere:ffe15	-7.162394232	10.38943191
Senegal_Fulani_Linguere:ffe16	-8.164200123	8.634566177
Senegal_Fulani_Linguere:ffe20	-7.182609367	10.18406984
Senegal_Fulani_Linguere:ffe21	-7.469765534	10.12607209
Senegal_Fulani_Linguere:ffe22	-6.885794261	10.49869086
Senegal_Fulani_Linguere:ffe23	-7.920697691	10.03082189
Senegal_Fulani_Linguere:ffe24	-7.195656597	10.50410776
Senegal_Fulani_Linguere:ffe28	-7.328124302	9.109955609
Senegal_Fulani_Linguere:ffe30	-6.742903612	7.975682703
Senegal_Fulani_Linguere:ffe32	-8.318049199	9.69550806
Senegal_Halpularen:HAL01	-5.23244386	2.483097377
Senegal_Halpularen:HAL03	-5.50597427	4.21319131
Senegal_Halpularen:HAL04	-5.079292867	3.807135356
Senegal_Halpularen:HAL06	-5.36423595	3.905314734
Senegal_Halpularen:HAL07	-5.193430745	1.248686384
Senegal_Halpularen:HAL08	-5.17227848	3.178206526
Senegal_Halpularen:HAL09	-4.912857509	3.597063307
Senegal_Halpularen:HAL11	-4.424447756	2.477839361
Senegal_Halpularen:HAL12	-5.371701002	2.623684983
Senegal_Halpularen:HAL13	-5.147018143	2.252437938
Senegal_Halpularen:HAL14	-5.39598569	2.77144386
Senegal_Halpularen:HAL15	-5.111283014	3.403136034
Senegal_Halpularen:HAL16	-5.526646607	2.079374974
Senegal_Halpularen:HAL17	-6.371465335	3.721619488
Senegal_Halpularen:HAL18	-5.393814634	2.094264488
Senegal_Halpularen:HAL19	-5.677101298	2.250167012
Senegal_Halpularen:HAL20	-5.193720463	4.376193208
Senegal_Halpularen:HAL22	-5.293809746	1.329680793
Senegal_Halpularen:HAL23	-5.053586196	1.530850845
Senegal_Halpularen:HAL24	-4.807102454	1.091678397
Senegal_Halpularen:HAL26	-5.663581257	1.847625194
Senegal_Halpularen:HAL30	-5.543511029	1.806578024
Senegal_Halpularen:HAL33	-4.885018225	1.374449677
Guinea_Fulani:FFD04	-7.070552867	3.795422718
Guinea_Fulani:FFD05	-5.995832266	5.890019248
Guinea_Fulani:FFD06	0.942384633	-1.793073906
Guinea_Fulani:FFD07	-5.996741947	6.868005917
Guinea_Fulani:FFD08	-0.158263128	-1.432599145
Guinea_Fulani:FFD09	-6.497483943	4.431532256
Guinea_Fulani:FFD10	-7.035482778	3.763729062
Guinea_Fulani:FFD11	-7.098774546	3.437851589
Guinea_Fulani:FFD12	0.374665244	-1.7830216
Guinea_Fulani:FFD13	-6.723218546	4.060574446
Guinea_Fulani:FFD14	-6.511657791	8.115715453
Guinea_Fulani:FFD31	-5.981467125	6.709578389
Guinea_Fulani:FFD32	-7.337449883	3.626392848
Guinea_Fulani:FFD33	-0.568203646	-1.766353064
Guinea_Fulani:FFD34	-5.928010261	5.242083815
Guinea_Fulani:FFD35	-6.501138863	5.130856443
Guinea_Fulani:FFD36	-7.088239583	3.492358235
Guinea_Fulani:FFD37	1.021980894	-1.828154654
Guinea_Fulani:FFD42	0.946459568	-1.810054435
Guinea_Fulani:FFD43	-7.407752915	3.453946482
Guinea_Fulani:FFD46	-0.153793712	-1.697676686
Guinea_Fulani:FFD47	-5.888210309	5.785803311
Guinea_Fulani:FFD48	-7.222444886	3.409615831
Guinea_Fulani:FFD49	0.692365221	-1.466303529
Guinea_Fulani:FFD51	0.718571797	-2.248059217
