16,Mauritania_Fulani_Assaba,#66AEBF,x,None,16.247803,-12.676359,None,white
18,Senegal_Fulani_Linguere,#3B9AB2,circle,None,15.395579,-15.114766,None,white
23,Senegal_Halpularen,#57A7BA,cross,None,16.5086,-14.221,None,white
74,Gambia_Fula,#49A0B6,triangle,None,13.3979,-14.3949,None,white
25,Guinea_Fulani,#74B5C3,diamond,None,11.1233,-12.4999,None,white
22,Mali_Fulani_Diafarabe,#8CBAA9,inverted_triangle,None,14.138507,-5.01922,None,white
16,Mali_Fulani_InnerDelta,#C2C460,asterisk,None,14.630433,-4.497783,None,white
19,BurkinaFaso_Fulani_Banfora,#A7BF85,square_x,None,10.475989,-4.830134,None,white
24,BurkinaFaso_Fulani_Tindangou,#E9C825,circle_cross,None,11.959674,1.837594,None,white
54,BurkinaFaso_Fulani_Ziniare,#DDC93C,diamond_cross,None,12.3715,-1.5197,None,white
19,Niger_Fulani_Abalak,#E5BA11,circle_x,None,15.461267,6.278245,None,white
19,Niger_Fulani_Ader,#E7C11B,square_cross,None,14.185136,5.097415,None,white
19,Niger_Fulani_Balatungur,#E58300,triangle,#E58300,13.730922,13.358881,#E58300,#E58300
13,Niger_Fulani_Diffa,#E2A600,square,#E2A600,13.313756,12.613102,#E2A600,#E2A600
21,Niger_Fulani_Zinder,#E2B407,square,None,13.810567,8.986755,None,white
30,Cameroon_Fulani_Tcheboua,#E58300,circle,#E58300,9.029389,13.18591,#E58300,#E58300
23,Chad_Fulani_Bongor,#F21A00,circle,None,10.275715,15.411228,None,white
17,Chad_Fulani_Linia,#EE3D00,diamond,#EE3D00,12.046067,15.306635,#EE3D00,#EE3D00
21,Senegal_Bedik,#004529,square_cross,None,12.539,-12.3102,None,white
50,Gambia_GWD,#ADDD8E,triangle,None,13.2769,-16.6331,None,white
50,Gambia_Jola,#78C679,cross,None,13.3979,-14.3949,None,white
50,Gambia_Wolof,#238443,x,None,13.3979,-14.3949,None,white
50,Gambia_Mandinka,#41AB5D,diamond,None,13.3979,-14.3949,None,white
50,SierraLeone_MSL,#ADDD8E,inverted_triangle,None,8.5,-13.2,None,white
15,BurkinaFaso_Gurmantche,#238443,square,#238443,11.24,0.72,#238443,#238443
16,BurkinaFaso_Gurunsi,#006837,circle_x,None,11.17,-1.14,None,white
17,BurkinaFaso_Mossi,#004529,square_cross,None,12.59,-1.34,None,white
18,IvoryCoast_Ahizi,#004529,diamond_cross,None,5.2504,-4.6164,None,white
16,IvoryCoast_Yacouba,#ADDD8E,asterisk,None,7.7582,-8.0706,None,white
50,Ghana_GaAdangbe,#006837,square,None,6.0712,-0.2526,None,white
15,Mali_Bwa,#78C679,circle_cross,None,13.2872,-4.5913,None,white
19,Benin_Fon,#78C679,circle,#78C679,6.37,2.08,#78C679,#78C679
24,Benin_Yoruba,#41AB5D,triangle,None,7.3602,2.6045,None,white
24,Benin_Bariba,#ADDD8E,diamond,None,9.3393,2.6276,None,white
50,Nigeria_Igbo,#238443,cross,None,6.9224,7.4797,None,white
50,Nigeria_YRI,#006837,circle,None,7.3783,3.9443,None,white
50,Nigeria_ESN,#41AB5D,triangle,None,6.5,6,None,white
18,Chad_Daza,#543005,asterisk,None,18.6389,21.8418,None,white
4,Chad_Kanembu,#8C510A,x,None,14.4493,15.2952,None,white
23,Chad_Laal,#BF812D,square_x,None,9.8956,19.9931,None,white
50,Chad_Sara,#DFC27D,diamond,None,9.2096,16.9922,None,white
50,Chad_Toubou,#543005,inverted_triangle,None,18.2983,19.4787,None,white
19,Sudan_Daju,#8C510A,circle_cross,None,12.7381,24.3452,None,white
24,Sudan_NubaKoalib,#BF812D,square_cross,None,11.8837,29.9299,None,white
14,Sudan_Nubian,#DFC27D,circle_x,None,20.79,30.48,None,white
24,Sudan_Zaghawa,#543005,diamond_cross,None,13.0521,23.5103,None,white
21,Ethiopia_Gumuz,#BF812D,square,None,10.592311,35.717752,None,white
42,Ethiopia_Amhara,#DFC27D,triangle,#8C510A,10,39,#8C510A,#8C510A
26,Ethiopia_Oromo,#543005,square,#DFC27D,8,37,#DFC27D,#DFC27D
21,Ethiopia_Wolayta,#DFC27D,circle,#8C510A,6,37,#8C510A,#8C510A
42,Ethiopia_Somali,#8C510A,diamond,#543005,9,42,#543005,#543005
15,Morocco_BerberAsni,#543005,circle,None,31.2427,-7.9859,None,white
10,Morocco_BerberBouhria,#737373,triangle,None,34.7388,-2.3544,None,white
9,Morocco_BerberFiguig,#525252,cross,None,32.1102,-1.2322,None,white
50,Egypt_Egyptian,#BDBDBD,x,None,30.0394,31.2389,None,white
50,Lebanon_LebaneseChristian,#252525,diamond,None,33.84,35.5056,None,white
31,Lebanon_LebaneseDruze,#000000,inverted_triangle,None,33.84,35.5056,None,white
43,Lebanon_LebaneseMuslim,#BDBDBD,square_x,None,33.84,35.5056,None,white
20,Yemen_Yemeni,#969696,asterisk,None,15.1613,44.2909,None,white
50,Europe_TSI,#969696,circle,#737373,42.1,12,#737373,#737373
50,Europe_IBS,#252525,square_cross,None,40.38,-3.72,None,white
35,Europe_SpainGranada,#BDBDBD,circle_cross,None,37.261,-6.9422,None,white
35,Europe_SpainHuelva,#969696,circle_x,None,37.1773,-3.5988,None,white
35,Europe_SouthPortugal,#000000,diamond_cross,None,37.6992,-8.0818,None,white
50,Europe_CEU,#969696,square,#737373,45.8566,2.3522,#737373,#737373
50,Europe_GBR,#525252,square,None,52.4862,-1.8904,None,white
2,WGS_Senegal_Wolof,black,hex_dot,violet,14.800000,-14.200000,triangle,#238443
