Gambia_GWD,60,-16.6331,13.2769,0.0382,0.7669,0.1617,0.0198,0.0102,0.0015,0.0017
Nigeria_YRI,60,3.9443,7.3783,0.0078,0.0671,0.893,0.0212,0.0092,0.0004,0.0013
Europe_TSI,60,12,42.1,0,0,0,0,0,0.7547,0.2453
Europe_IBS,60,-3.72,40.38,0.0097,0.0004,0.0003,0.0037,0.0004,0.8498,0.1358
Ghana_GaAdangbe,60,-0.2526,6.0712,0.0052,0.1411,0.8255,0.0115,0.0114,0.0037,0.0016
Nigeria_ESN,60,6,6.5,0.0036,0.0165,0.9573,0.0149,0.0058,0.0003,0.0015
Nigeria_Igbo,60,7.4797,6.9224,0.0037,0.0276,0.9354,0.0139,0.0179,0.0003,0.0012
Egypt_Egyptian,60,31.2389,30.0394,0.0215,0.0065,0.0292,0.0391,0.0609,0.2486,0.5941
Europe_CEU,60,2.3522,45.8566,0,0,0,0,0,0.9908,0.0091
Europe_GBR,60,-1.8904,52.4862,0,0,0,0,0,0.9993,0.0007
Gambia_Mandinka,60,-14.3949,13.3979,0.0397,0.749,0.1741,0.022,0.0105,0.0019,0.0029
SierraLeone_MSL,60,-13.2,8.5,0.0025,0.4191,0.5625,0.0004,0.0135,0.0011,0.0008
Gambia_Jola,60,-14.3949,13.3979,0.0048,0.9558,0.0161,0.0162,0.0062,0.0005,0.0005
Gambia_Wolof,60,-14.3949,13.3979,0.078,0.7457,0.1294,0.0345,0.0087,0.0013,0.0024
Gambia_Fula,60,-14.3949,13.3979,0.2581,0.424,0.2126,0.0295,0.0126,0.0293,0.0339
Chad_Toubou,60,19.4787,18.2983,0.0232,0.0091,0.0447,0.7348,0.0469,0.0063,0.135
Chad_Sara,60,16.9922,9.2096,0,0.0792,0.6262,0.132,0.162,0.0003,0.0003
BurkinaFaso_Fulani_Ziniare,54,-1.5197,12.3715,0.4821,0.1969,0.1774,0.032,0.0089,0.0493,0.0535
Lebanon_LebaneseChristian,52,35.5056,33.84,0,0.0002,0,0,0.0006,0.3901,0.6091
Lebanon_LebaneseMuslim,43,35.5056,33.84,0.0005,0.0041,0.0064,0.0022,0.0147,0.4131,0.5589
Ethiopia_Somali,42,42,9,0.0037,0.0005,0.0066,0.0646,0.518,0.0007,0.4058
Ethiopia_Amhara,42,39,10,0.0145,0.002,0.001,0.0375,0.4064,0.0069,0.5316
Europe_SouthPortugal,35,-8.0818,37.6992,0.0186,0.0041,0.0098,0.0097,0.0016,0.798,0.1581
Europe_SpainHuelva,35,-3.5988,37.1773,0.0165,0.0019,0.0023,0.0072,0.0005,0.826,0.1457
Europe_SpainGranada,35,-6.9422,37.261,0.013,0.0015,0.0019,0.0039,0.0007,0.8317,0.1474
Lebanon_LebaneseDruze,31,35.5056,33.84,0,0.0011,0.001,0.0008,0.0029,0.4101,0.5841
Cameroon_Fulani_Tcheboua,30,13.18591,9.029389,0.401,0.3222,0.1658,0.0329,0.0151,0.0287,0.0343
BurkinaFaso_Fulani_Tindangou,26,1.837594,11.959674,0.6166,0.1303,0.0865,0.0364,0.0134,0.0596,0.0572
Ethiopia_Oromo,26,37,8,0.0214,0.0027,0.0013,0.028,0.4452,0.0074,0.494
Guinea_Fulani,25,-12.4999,11.1233,0.4034,0.262,0.1896,0.0281,0.012,0.0504,0.0544
Benin_Yoruba,24,2.6045,7.3602,0.0021,0.0956,0.8721,0.0205,0.0082,0.0005,0.0009
Benin_Bariba,24,2.6276,9.3393,0.0155,0.1538,0.7838,0.0337,0.0126,0.0003,0.0003
Sudan_NubaKoalib,24,29.9299,11.8837,0,0.0025,0.0184,0.3641,0.6148,0.0001,0
Sudan_Zaghawa,24,23.5103,13.0521,0.0001,0.0028,0.0205,0.5916,0.3456,0.0006,0.0388
Chad_Fulani_Bongor,23,15.411228,10.275715,0.844,0.0813,0.0545,0.0019,0.0014,0.0069,0.01
Senegal_Halpularen,23,-14.221,16.5086,0.248,0.4147,0.227,0.0317,0.0125,0.0304,0.0356
Chad_Laal,23,19.9931,9.8956,0,0.0653,0.4584,0.2316,0.2447,0,0
Niger_Fulani_Zinder,22,8.986755,13.810567,0.5465,0.1366,0.1286,0.0542,0.0307,0.0482,0.0552
Mali_Fulani_Diafarabe,22,-5.01922,14.138507,0.5002,0.1944,0.1577,0.0306,0.011,0.0467,0.0595
Senegal_Bedik,21,-12.3102,12.539,0.0309,0.765,0.1765,0.018,0.0095,0.0001,0
Ethiopia_Wolayta,21,37,6,0.0231,0.005,0.0156,0.0043,0.5267,0.0032,0.4222
Ethiopia_Gumuz,21,35.7178,10.5923,0.0035,0.0162,0.0267,0,0.9036,0.0481,0.0019
BurkinaFaso_Fulani_Banfora,20,-4.830134,10.475989,0.6059,0.1594,0.0789,0.0314,0.0091,0.0554,0.0599
Niger_Fulani_Balatungur,20,13.358881,13.730922,0.4931,0.1352,0.1641,0.0717,0.0389,0.0452,0.0518
Niger_Fulani_Ader,20,5.097415,14.185136,0.3402,0.1452,0.2769,0.1009,0.058,0.0383,0.0405
Yemen_Yemeni,20,44.2909,15.1613,0.0011,0.0015,0.0075,0,0.0498,0.1732,0.7669
Chad_Fulani_Linia,19,15.306635,12.046067,0.8005,0.043,0.0926,0.0329,0.024,0.0035,0.0035
Niger_Fulani_Abalak,19,6.278245,15.461267,0.6026,0.1185,0.1041,0.0435,0.0201,0.0557,0.0555
Benin_Fon,19,2.08,6.37,0.0058,0.106,0.865,0.0151,0.0071,0,0.001
Sudan_Daju,19,24.3452,12.7381,0,0.0071,0.0868,0.3978,0.4406,0.0218,0.0459
