16,Mauritania_Fulani_Assaba,#66AEBF,x,white
18,Senegal_Fulani_Linguere,#3B9AB2,circle,white
23,Senegal_Halpularen,#57A7BA,cross,white
74,Gambia_Fula,#49A0B6,triangle,white
25,Guinea_Fulani,#74B5C3,diamond,white
22,Mali_Fulani_Diafarabe,#8CBAA9,inverted_triangle,white
16,Mali_Fulani_InnerDelta,#C2C460,asterisk,white
19,BurkinaFaso_Fulani_Banfora,#A7BF85,square_x,white
24,BurkinaFaso_Fulani_Tindangou,#E9C825,circle_cross,white
54,BurkinaFaso_Fulani_Ziniare,#DDC93C,diamond_cross,white
19,Niger_Fulani_Abalak,#E5BA11,circle_x,white
19,Niger_Fulani_Ader,#E7C11B,square_cross,white
19,Niger_Fulani_Balatungur,#E58300,triangle,white
13,Niger_Fulani_Diffa,#E2A600,square,white
21,Niger_Fulani_Zinder,#E2B407,square,white
30,Cameroon_Fulani_Tcheboua,#E58300,circle,white
23,Chad_Fulani_Bongor,#F21A00,circle,white
17,Chad_Fulani_Linia,#EE3D00,diamond,white
21,Senegal_Bedik,#004529,square_cross,white
50,Gambia_GWD,#ADDD8E,triangle,white
50,Gambia_Jola,#78C679,cross,white
50,Gambia_Wolof,#238443,x,white
50,Gambia_Mandinka,#41AB5D,diamond,white
50,SierraLeone_MSL,#ADDD8E,inverted_triangle,white
15,BurkinaFaso_Gurmantche,#238443,square,white
16,BurkinaFaso_Gurunsi,#006837,circle_x,white
17,BurkinaFaso_Mossi,#004529,square_cross,white
18,IvoryCoast_Ahizi,#004529,diamond_cross,white
16,IvoryCoast_Yacouba,#ADDD8E,asterisk,white
50,Ghana_GaAdangbe,#006837,square,white
15,Mali_Bwa,#78C679,circle_cross,white
19,Benin_Fon,#78C679,circle,white
24,Benin_Yoruba,#41AB5D,triangle,white
24,Benin_Bariba,#ADDD8E,diamond,white
50,Nigeria_Igbo,#238443,cross,white
50,Nigeria_YRI,#006837,circle,white
50,Nigeria_ESN,#41AB5D,triangle,white
18,Chad_Daza,#543005,asterisk,white
4,Chad_Kanembu,#8C510A,x,white
23,Chad_Laal,#BF812D,square_x,white
50,Chad_Sara,#DFC27D,diamond,white
50,Chad_Toubou,#543005,inverted_triangle,white
19,Sudan_Daju,#8C510A,circle_cross,white
24,Sudan_NubaKoalib,#BF812D,square_cross,white
14,Sudan_Nubian,#DFC27D,circle_x,white
24,Sudan_Zaghawa,#543005,diamond_cross,white
21,Ethiopia_Gumuz,#BF812D,square,white
42,Ethiopia_Amhara,#DFC27D,triangle,white
26,Ethiopia_Oromo,#543005,square,white
21,Ethiopia_Wolayta,#DFC27D,circle,white
42,Ethiopia_Somali,#8C510A,diamond,white
15,Morocco_BerberAsni,#543005,circle,white
10,Morocco_BerberBouhria,#737373,triangle,white
9,Morocco_BerberFiguig,#525252,cross,white
50,Egypt_Egyptian,#BDBDBD,x,white
50,Lebanon_LebaneseChristian,#252525,diamond,white
31,Lebanon_LebaneseDruze,#000000,inverted_triangle,white
43,Lebanon_LebaneseMuslim,#BDBDBD,square_x,white
20,Yemen_Yemeni,#969696,asterisk,white
50,Europe_TSI,#969696,circle,white
50,Europe_IBS,#252525,square_cross,white
35,Europe_SpainGranada,#BDBDBD,circle_cross,white
35,Europe_SpainHuelva,#969696,circle_x,white
35,Europe_SouthPortugal,#000000,diamond_cross,white
50,Europe_CEU,#969696,square,white
50,Europe_GBR,#525252,square,white
16,Cameroon_SMA,black,square,red
16,CanaryIslands_Guanche.SG,purple,square_cross,magenta
18,Morocco_Epipalaeolithic,black,triangle,plum
18,Morocco_EarlyNeolithicCardial,indigo,inverted_triangle,deeppink
18,Morocco_EN_lc.SG,black,plus,darkorchid
18,Morocco_EN.SG,black,hex,darkviolet
18,Morocco_MiddleNeolithic,black,square_pin,orchid
18,Morocco_LN.SG,black,square,blueviolet
18,Morocco_N.SG,black,circle,purple
18,Morocco_Iberomaurusian,black,circle_cross,violet
18,Algeria_NumidoRoman_Berber.SG,black,circle,deepskyblue
20,Tunisia_Punic.SG,black,diamond,lime
18,Tunisia_Punic_oAfrica1.SG,black,triangle,yellowgreen
16,Tunisia_Punic_oAfrica2.SG,black,square,darkgreen
18,Egypt_ThirdIntermediatePeriod,black,square_pin,grey
16,Sudan_EarlyChristian_R,black,square_cross,tan
18,Sudan_EarlyChristian_S,black,triangle,sienna
18,Lebanon_IA2.SG,black,inverted_triangle,olivedrab
18,Lebanon_MBA.SG,black,asterisk,cyan
18,Lebanon_Medieval_o,black,square_pin,darkturquoise
20,Lebanon_Medieval.SG,black,diamond,teal
18,Israel_Natufian,black,circle,darkorange
16,Iran_GanjDareh_N,black,square,darkgoldenrod
18,Turkey_N,blue,triangle,navy
