Population,Ind,F_ROH,Mean_ROH_size,Sum_short_ROH,Sum_long_ROH,Total_length_ROH,class_1_ROH,class_2_ROH,class_3_ROH,class_4_ROH,class_5_ROH,class_6_ROH,class_7_ROH
Senegal_Halpularen,HAL01,0.005739957,5.739957333,124.545505,17.219872,0.003,67.111554,46.191637,12.924352,2.63964,NA,NA,12.898194
Senegal_Halpularen,HAL03,0.001708137,1.708137333,121.488751,5.124412,0.003,69.978563,43.81161,12.82299,NA,NA,NA,NA
Senegal_Halpularen,HAL04,0.012121754,5.195037286,114.703597,36.365261,0.007,57.841954,48.294311,12.015009,2.151756,10.5107,8.446089,11.809039
Senegal_Halpularen,HAL06,0.004545763,2.2728815,124.915449,13.637289,0.006,61.898497,46.439599,20.393946,9.820696,NA,NA,NA
Senegal_Halpularen,HAL07,0.006808293,4.084976,119.684917,20.42488,0.005,62.394404,46.641778,12.172739,5.484466,NA,13.41641,NA
Senegal_Halpularen,HAL08,0.000610733,1.8322,112.213246,1.8322,0.001,60.699144,41.716646,11.629656,NA,NA,NA,NA
Senegal_Halpularen,HAL09,0.000706623,2.11987,110.149813,2.11987,0.001,56.773905,47.52474,5.851168,2.11987,NA,NA,NA
Senegal_Halpularen,HAL11,0.002311138,3.466707,112.212965,6.933414,0.002,55.815869,51.825597,4.571499,2.608911,4.324503,NA,NA
Senegal_Halpularen,HAL12,0.015537024,4.237370182,128.717856,46.611072,0.011,62.627878,56.068125,18.55231,5.207673,4.634629,17.324315,10.913998
Senegal_Halpularen,HAL13,0.002249814,1.68736025,126.289183,6.749441,0.004,60.981106,58.091125,13.966393,NA,NA,NA,NA
Senegal_Halpularen,HAL14,0.005657384,2.828691833,115.44266,16.972151,0.006,61.703463,44.975182,12.078991,7.290564,NA,6.366611,NA
Senegal_Halpularen,HAL15,0.001893508,1.893508,130.236424,5.680524,0.003,62.442068,53.910138,17.513769,2.050973,NA,NA,NA
Senegal_Halpularen,HAL16,0.00225372,2.253720333,123.501639,6.761161,0.003,62.145437,55.276327,7.85314,4.987896,NA,NA,NA
Senegal_Halpularen,HAL17,0.001106739,1.660109,128.246428,3.320218,0.002,59.692489,53.992009,17.882148,NA,NA,NA,NA
Senegal_Halpularen,HAL18,0.014141962,4.2425887,119.08742,42.425887,0.01,52.171708,51.024672,22.70754,9.936054,4.798995,9.277764,11.596574
Senegal_Halpularen,HAL19,0.009664718,7.24853875,134.538919,28.994155,0.004,62.335948,55.40718,16.795791,4.340601,NA,7.493275,NA
Senegal_Halpularen,HAL20,0.00279538,2.795380333,126.173029,8.386141,0.003,58.095212,48.989737,19.08808,8.386141,NA,NA,NA
Senegal_Halpularen,HAL22,0.067261601,8.773252261,125.228724,201.784802,0.023,63.129917,44.144163,21.123467,17.362345,15.282622,29.614634,39.10801
Senegal_Halpularen,HAL23,0.005101373,3.82602975,107.846906,15.304119,0.004,53.44605,41.721669,14.271619,2.237381,5.302061,6.172245,NA
Senegal_Halpularen,HAL24,0.003460586,2.59543975,125.618338,10.381759,0.004,66.108008,47.946142,15.049807,2.141074,4.755066,NA,NA
Senegal_Halpularen,HAL26,0.019673034,5.9019102,114.168654,59.019102,0.01,62.343051,42.435844,12.931699,9.577507,NA,22.832879,23.066776
Senegal_Halpularen,HAL30,0.039924281,6.303833895,115.545851,119.772844,0.019,59.621464,51.128629,14.662839,8.440573,18.888294,25.246272,23.172422
Senegal_Halpularen,HAL33,0.006026582,6.026582333,119.810436,18.079747,0.003,61.922788,41.689841,17.710944,3.053366,NA,NA,13.513244
Gambia_Fula,195850_E02_TDT5142389,0.001344867,2.017301,110.219419,4.034602,0.002,56.314327,47.841618,7.708624,2.389452,NA,NA,NA
Gambia_Fula,195851_G12_TDT5140551,0.00126546,1.8981895,124.561059,3.796379,0.002,66.130572,47.966879,14.259987,NA,NA,NA,NA
Gambia_Fula,195852_A04_TDT5140830,0.016149298,2.849876176,139.473544,48.447895,0.017,58.298834,54.469828,35.479764,28.81364,4.48103,6.378343,NA
Gambia_Fula,195852_A11_TDT5140962,0.002633067,1.9748005,127.270995,7.899202,0.004,58.746747,53.632113,20.380284,2.411053,NA,NA,NA
Gambia_Fula,195852_A12_TDT5140988,0.009644717,2.411179333,160.310013,28.934152,0.012,73.56216,54.139236,43.270496,12.124693,NA,6.14758,NA
Gambia_Fula,195852_B05_TDT5140852,0.0029837,2.23777475,109.116438,8.951099,0.004,57.353749,41.02471,14.078002,5.611076,NA,NA,NA
Gambia_Fula,195852_C12_TDT5140994,0.000552846,1.658538,107.606763,1.658538,0.001,52.277632,45.823607,11.164062,NA,NA,NA,NA
Gambia_Fula,195852_D11_TDT5140970,0.016240317,12.180238,115.600076,48.720952,0.004,62.131287,46.368964,7.099825,2.539166,NA,9.712806,NA
Gambia_Fula,195852_F05_TDT5140860,0.000721625,2.164875,123.356087,2.164875,0.001,63.63872,48.14704,11.570327,2.164875,NA,NA,NA
Gambia_Fula,195852_F10_TDT5140952,0.000692998,2.078995,107.802971,2.078995,0.001,58.591136,41.23286,7.978975,2.078995,NA,NA,NA
Gambia_Fula,195852_G04_TDT5140845,0.036742952,5.248993095,111.451928,110.228855,0.021,49.685722,48.019638,22.219963,23.353425,NA,21.298182,37.753252
Gambia_Fula,195852_G12_TDT5141002,0.001335494,2.003241,114.913115,4.006482,0.002,59.973283,48.440056,8.039149,2.467109,NA,NA,NA
Gambia_Fula,195852_H10_TDT5140960,0.059559563,16.24351718,106.815857,178.678689,0.011,57.545817,44.375236,6.546897,2.252903,4.241819,14.653547,13.249079
Gambia_Fula,195855_A02_TDT5141719,0.012878228,2.759620286,134.278667,38.634684,0.014,62.18643,56.326439,22.366247,21.165072,4.764968,6.104195,NA
Gambia_Fula,195855_G01_TDT5141711,0.011471078,2.294215667,134.846479,34.413235,0.015,62.367082,57.610835,27.99731,15.72365,5.560837,NA,NA
Gambia_Fula,195856_B09_TDT5142193,0.023777279,4.458239813,139.861395,71.331837,0.016,60.927516,60.725283,28.421409,15.077532,5.929072,7.382017,10.037496
Gambia_Fula,195856_C09_TDT5142201,0.017733706,3.546741267,143.763682,53.201119,0.015,62.927112,53.837487,35.444603,20.258191,NA,24.497408,NA
Gambia_Fula,195858_A01_TDT5140559,0.014141626,3.263452077,109.402016,42.424877,0.013,54.135971,44.572598,20.851455,12.064742,5.520397,NA,14.68173
Gambia_Fula,195858_A03_TDT5140599,0.000568665,1.705996,104.189732,1.705996,0.001,53.77077,43.253705,8.871253,NA,NA,NA,NA
Gambia_Fula,195858_A06_TDT5140674,0.027903307,7.609992818,122.276314,83.709921,0.011,54.26936,52.454225,22.233403,2.955403,4.935695,14.313158,11.125008
Gambia_Fula,195858_A07_TDT5140716,0.001026254,3.078763,109.628577,3.078763,0.001,56.031059,45.139018,8.4585,3.078763,NA,NA,NA
Gambia_Fula,195858_C02_TDT5140578,NA,NA,102.818145,NA,NA,53.738456,49.079689,NA,NA,NA,NA,NA
Gambia_Fula,195858_C03_TDT5140602,0.003949723,1.974861667,100.12773,11.84917,0.006,52.535502,41.582192,11.36583,6.493376,NA,NA,NA
Gambia_Fula,195858_C05_TDT5140647,NA,NA,110.550367,NA,NA,54.189231,43.114354,13.246782,NA,NA,NA,NA
Gambia_Fula,195858_C06_TDT5140682,0.008341861,2.275053,139.611396,25.025583,0.011,69.213327,59.325187,21.825378,9.875814,4.397273,NA,NA
Gambia_Fula,195858_D05_TDT5140655,0.003430513,2.0583076,103.759695,10.291538,0.005,53.022487,45.179351,9.07608,6.773315,NA,NA,NA
Gambia_Fula,195858_E02_TDT5140586,0.000531274,1.593822,118.014703,1.593822,0.001,58.196418,49.343274,12.068833,NA,NA,NA,NA
Gambia_Fula,195858_E03_TDT5140607,0.017536914,5.845638111,124.221893,52.610743,0.009,57.702636,53.384655,18.385249,4.284241,9.940596,NA,13.922748
Gambia_Fula,195858_E05_TDT5140662,0.002224294,1.66822025,104.162329,6.672881,0.004,58.079078,40.97424,11.781892,NA,NA,NA,NA
Gambia_Fula,195858_E06_TDT5140692,0.001075715,1.6135725,110.828843,3.227145,0.002,56.834233,48.154615,9.06714,NA,NA,NA,NA
Gambia_Fula,195858_E10_TDT5140770,0.018570243,3.277101706,136.328331,55.710729,0.017,63.654227,49.987308,34.898378,14.690559,16.189462,NA,12.619126
Gambia_Fula,195858_E11_TDT5140778,0.015510643,5.816491,135.945912,46.531928,0.008,63.21646,62.270054,13.919567,4.891424,4.120428,6.910905,27.149002
Gambia_Fula,195858_F06_TDT5140700,0.0280454,6.472015308,88.15454,84.136199,0.013,48.558637,32.542537,10.366867,18.455692,NA,14.602035,10.951633
Gambia_Fula,195858_F08_TDT5140751,0.001798917,1.798916667,100.351251,5.39675,0.003,58.027154,36.197528,11.523319,NA,NA,NA,NA
Gambia_Fula,195858_G02_TDT5140594,0.002702331,2.0267485,124.824499,8.106994,0.004,65.388608,44.301299,18.446004,4.795582,NA,NA,NA
Gambia_Fula,195858_G03_TDT5140610,0.001229161,3.687483,110.886176,3.687483,0.001,62.406632,40.009362,8.470182,3.687483,NA,NA,NA
Gambia_Fula,195858_G05_TDT5140670,0.001859195,2.788792,105.086643,5.577584,0.002,53.786707,39.422133,13.406778,NA,4.048609,NA,NA
Gambia_Fula,195858_G06_TDT5140708,NA,NA,115.112578,NA,NA,62.008864,40.61687,12.486844,NA,NA,NA,NA
Gambia_Fula,195858_H03_TDT5140614,0.010402304,3.900863875,134.979479,31.206911,0.008,61.733261,60.088904,15.028414,18.52063,NA,NA,10.815181
Gambia_Fula,195859_A03_TDT5141067,0.001223524,1.8352855,95.896614,3.670571,0.002,48.999354,40.241991,8.208491,2.117349,NA,NA,NA
Gambia_Fula,195859_A06_TDT5141141,0.053476646,6.684580792,149.064293,160.429939,0.024,63.889801,62.814644,36.162693,27.012323,9.590695,24.389458,11.264937
Gambia_Fula,195859_B01_TDT5141008,0.036457596,6.076265944,141.846964,109.372787,0.018,67.541568,59.285591,23.367379,17.411148,5.006053,15.24489,25.577419
Gambia_Fula,195859_B10_TDT5141204,0.004868962,2.434481,111.787867,14.606886,0.006,54.395151,46.57839,14.364495,11.056717,NA,NA,NA
Gambia_Fula,195859_C03_TDT5141090,0.004969185,2.129650714,129.631444,14.907555,0.007,63.182015,48.159759,24.914597,8.282628,NA,NA,NA
Gambia_Fula,195859_C10_TDT5141210,0.033645513,4.80650181,128.772131,100.936538,0.021,66.093002,48.468747,24.062004,25.311543,4.517046,6.248187,38.073533
Gambia_Fula,195859_E01_TDT5141030,NA,NA,115.849803,NA,NA,55.288673,50.777897,9.783233,NA,NA,NA,NA
Gambia_Fula,195859_E05_TDT5141133,0.007313178,2.742441875,102.273081,21.939535,0.008,53.649778,36.982928,17.032563,16.547347,NA,NA,NA
Gambia_Fula,195859_E10_TDT5141212,0.001600582,4.801745,109.062701,4.801745,0.001,50.463496,47.702582,10.896623,NA,4.801745,NA,NA
Gambia_Fula,195859_E11_TDT5141237,0.010309708,3.0929123,129.307963,30.929123,0.01,64.367866,52.400881,16.229024,16.599527,4.100857,6.538931,NA
Gambia_Fula,195859_F01_TDT5141038,0.002681728,4.022592,104.092336,8.045184,0.002,51.58609,43.162035,11.038903,NA,NA,6.350492,NA
Gambia_Fula,195859_F03_TDT5141094,0.002296932,2.296931667,117.281454,6.890795,0.003,63.049381,42.578172,13.343607,5.201089,NA,NA,NA
Gambia_Fula,195859_F11_TDT5141241,0.021453789,2.925516636,147.220601,64.361366,0.022,72.324629,57.375386,29.424487,33.394052,5.531823,13.53159,NA
Gambia_Fula,195859_G02_TDT5141059,0.000508358,1.525074,115.480777,1.525074,0.001,56.802141,51.347982,8.855728,NA,NA,NA,NA
Gambia_Fula,195859_G03_TDT5141095,0.012226879,3.056719833,128.912952,36.680638,0.012,64.30051,53.050493,15.067952,20.209247,12.965388,NA,NA
Gambia_Fula,195859_H03_TDT5141098,0.019280116,3.615021813,139.735681,57.840349,0.016,61.883457,53.944069,41.468385,2.667177,12.878778,6.931007,NA
Gambia_Fula,195859_H04_TDT5141119,0.003753891,2.2523344,135.40005,11.261672,0.005,63.447457,62.160475,16.509742,NA,4.544048,NA,NA
Gambia_Fula,195859_H07_TDT5141169,0.001879435,1.879435333,115.419581,5.638306,0.003,59.07336,43.586925,16.177951,2.219651,NA,NA,NA
Gambia_Fula,195859_H11_TDT5141245,0.006660136,2.854343857,133.794623,19.980407,0.007,61.832398,53.769043,21.911472,7.769119,8.492998,NA,NA
Gambia_Fula,195863_A02_TDT5141285,0.008130479,3.048929625,114.741831,24.391437,0.008,48.41833,55.571922,13.970253,12.227259,8.945504,NA,NA
Gambia_Fula,195863_A03_TDT5141310,0.01469761,3.391756154,143.830426,44.09283,0.013,64.622427,58.623724,24.136851,17.545727,13.066459,9.928068,NA
Gambia_Fula,195863_A05_TDT5141390,0.005184867,3.1109202,112.669609,15.554601,0.005,61.056501,43.706238,9.602877,9.250831,4.607763,NA,NA
Gambia_Fula,195863_A08_TDT5141441,0.000580472,1.741415,125.254253,1.741415,0.001,61.498861,44.451022,21.045785,NA,NA,NA,NA
Gambia_Fula,195863_D02_TDT5141292,NA,NA,115.617287,NA,NA,59.801843,48.968804,6.84664,NA,NA,NA,NA
Gambia_Fula,195863_D05_TDT5141397,0.001040842,1.5612635,113.287898,3.122527,0.002,58.289196,45.004052,13.117177,NA,NA,NA,NA
Gambia_Fula,195863_E02_TDT5141293,0.055967155,6.457748615,141.177968,167.901464,0.026,65.751103,60.095703,26.315416,23.447706,20.354905,7.77092,10.46503
Gambia_Fula,195863_E07_TDT5141433,0.000665974,1.997921,115.056239,1.997921,0.001,56.18954,47.680828,13.183792,NA,NA,NA,NA
Gambia_Fula,195863_H01_TDT5141284,0.001243379,1.8650685,116.63464,3.730137,0.002,57.832951,49.377417,11.007933,2.146476,NA,NA,NA
Gambia_Fula,195863_H02_TDT5141302,0.012263477,2.830033231,128.132125,36.790432,0.013,58.593633,56.373945,19.706477,17.271684,12.976818,NA,NA
Gambia_Fula,195863_H04_TDT5141382,0.003733292,2.239975,113.038812,11.199875,0.005,62.957078,43.28993,13.734035,NA,4.257644,NA,NA
Gambia_Fula,204224_A09_TDT5140974,0.010576944,2.884621182,104.326524,31.730833,0.011,52.359176,36.868401,22.001616,10.697005,14.131159,NA,NA
Gambia_Fula,204224_C12_TDT5141929,0.00315498,3.154979667,116.364722,9.464939,0.003,60.729325,46.377591,12.581193,NA,NA,6.141552,NA
Gambia_Fula,204224_D09_TDT5141300,0.055279718,4.877622176,133.514665,165.839154,0.034,56.910817,59.946537,31.459623,25.161464,35.055351,13.641927,45.277511
Gambia_Fula,204224_G08_TDT5140557,0.005095536,2.183801143,127.99551,15.286608,0.007,62.66908,52.256381,19.878574,8.478083,NA,NA,NA
Gambia_Fula,204224_H12_TDT5142225,0.023817007,3.10656613,128.251594,71.451021,0.023,67.266634,46.762044,22.93902,40.095396,5.265517,6.688285,10.685719
Guinea_Fulani,FFD04,0.049243244,8.689984235,102.791875,147.729732,0.017,54.114049,42.675281,12.408275,12.58404,8.788044,NA,35.992106
Guinea_Fulani,FFD05,0.016941891,5.647297111,123.884308,50.825674,0.009,60.992538,53.580622,12.918549,5.927542,4.057752,22.660199,14.57278
Guinea_Fulani,FFD06,0.008418535,4.2092675,114.843557,25.255605,0.006,57.61562,47.537193,14.751067,4.548349,NA,NA,NA
Guinea_Fulani,FFD07,0.017525015,3.755360286,144.76701,52.575044,0.014,63.546896,58.304565,26.573336,16.910559,24.798759,7.207939,NA
Guinea_Fulani,FFD08,NA,NA,108.25342,NA,NA,53.182593,48.591886,6.478941,NA,NA,NA,NA
Guinea_Fulani,FFD09,0.007543758,2.514586,108.24099,22.631274,0.009,50.21124,48.991199,14.328638,17.341187,NA,NA,NA
Guinea_Fulani,FFD10,0.002499382,1.87453625,103.88641,7.498145,0.004,53.469437,42.001397,13.172866,2.740855,NA,NA,NA
Guinea_Fulani,FFD11,0.004824227,2.4121135,104.191494,14.472681,0.006,51.187279,41.909728,19.979892,NA,5.587276,NA,NA
Guinea_Fulani,FFD12,0.001968232,1.968232,90.904944,5.904696,0.003,47.761146,34.256303,12.422839,2.369352,NA,NA,NA
Guinea_Fulani,FFD13,0.005412651,2.706325333,126.80548,16.237952,0.006,57.537569,53.719611,18.648741,6.922853,NA,6.214658,NA
Guinea_Fulani,FFD14,0.016649802,3.329960333,138.931632,49.949405,0.015,65.138855,62.838893,21.212121,16.894772,4.447623,6.557518,11.791255
Guinea_Fulani,FFD31,0.025031467,3.75472,140.669726,75.0944,0.02,63.476008,61.859082,24.976877,25.883313,8.531016,14.044417,NA
Guinea_Fulani,FFD32,0.006496307,2.165435667,115.546002,19.488921,0.009,54.808534,42.365197,28.513609,4.466738,4.880845,NA,NA
Guinea_Fulani,FFD33,0.134664809,13.46648093,106.117117,403.994428,0.03,50.046163,44.369909,13.520031,24.702764,20.888188,31.067237,10.932587
Guinea_Fulani,FFD34,0.01282779,2.565558,127.78906,38.48337,0.015,56.051294,47.086741,38.167474,13.708312,11.258609,NA,NA
Guinea_Fulani,FFD35,0.006948088,4.168853,117.289566,20.844265,0.005,51.651763,49.83787,19.030597,7.450012,NA,NA,10.163589
Guinea_Fulani,FFD36,0.001324674,1.9870115,103.927017,3.974023,0.002,56.623878,37.501071,11.47359,2.302501,NA,NA,NA
Guinea_Fulani,FFD37,0.001549849,2.324774,99.981351,4.649548,0.002,56.299021,33.283452,12.078398,2.970028,NA,NA,NA
Guinea_Fulani,FFD42,0.0133217,4.9956375,100.138778,39.9651,0.008,47.487994,44.844819,13.028089,5.365521,NA,15.122781,14.254674
Guinea_Fulani,FFD43,0.003793283,1.896641333,102.420641,11.379848,0.006,50.216814,46.274209,12.744963,4.564503,NA,NA,NA
Guinea_Fulani,FFD46,0.001445279,4.335838,105.456935,4.335838,0.001,50.38695,39.810799,15.259186,NA,4.335838,NA,NA
Guinea_Fulani,FFD47,0.021451641,3.387101211,147.118163,64.354923,0.019,71.409161,58.469804,29.89251,14.196688,16.835996,20.668927,NA
Guinea_Fulani,FFD48,0.001181067,1.7716005,106.012227,3.543201,0.002,59.349266,43.386618,6.819544,NA,NA,NA,NA
Guinea_Fulani,FFD49,0.001822918,1.822917667,107.953507,5.468753,0.003,57.482793,37.114723,16.597671,2.227073,NA,NA,NA
Guinea_Fulani,FFD51,0.000776267,2.3288,106.789214,2.3288,0.001,61.898634,34.80783,10.08275,2.3288,NA,NA,NA
Mali_Fulani_InnerDelta,FML02,0.010724399,3.574799667,120.597544,32.173197,0.009,51.317523,55.003853,19.09617,10.378896,NA,16.974299,NA
Mali_Fulani_InnerDelta,FML03,0.021994853,3.881444647,144.429254,65.984559,0.017,62.154711,63.995765,28.518209,18.241974,10.182775,7.558501,NA
Mali_Fulani_InnerDelta,FML04,0.055951872,4.536638297,152.993463,167.855617,0.037,63.89318,65.396858,39.555726,46.070358,20.499118,34.292836,34.323396
Mali_Fulani_InnerDelta,FML06,0.012888921,2.274515412,156.10267,38.666762,0.017,68.345205,65.174738,36.604066,24.645423,NA,NA,NA
Mali_Fulani_InnerDelta,FML07,0.025046357,3.578050952,139.69187,75.13907,0.021,63.242251,61.315836,23.76083,24.601033,25.248813,16.662177,NA
Mali_Fulani_InnerDelta,FML08,0.041920474,3.810952212,156.773732,125.761423,0.033,70.91271,63.793906,35.198324,53.184788,10.587377,13.105646,11.948315
Mali_Fulani_InnerDelta,FML10,0.023216491,3.028237957,158.774367,69.649473,0.023,76.626347,69.132723,25.828286,21.151695,29.216045,6.468744,NA
Mali_Fulani_InnerDelta,FML11,0.05888332,6.308927143,143.413692,176.64996,0.028,64.523709,55.612829,31.815869,31.179324,19.995618,14.364655,31.366136
Mali_Fulani_InnerDelta,FML13,0.02703869,3.379836208,136.662638,81.116069,0.024,70.200025,54.654253,25.679047,26.547896,27.472229,NA,13.225257
Mali_Fulani_InnerDelta,FML16,0.106629905,7.270220795,154.814351,319.889715,0.044,66.235836,65.590661,33.21487,39.907611,51.108356,41.103587,27.835344
